"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"lro:LROC_Parameters:2                lro:temperature_scs:1               ","Attribute","temperature_scs","n/a","lro","TBD","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Temperature","none","TBD_classConcept","REAL"
"lro:LROC_Parameters:2                lro:temperature_fpa:1               ","Attribute","temperature_fpa","n/a","lro","TBD","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Temperature","none","TBD_classConcept","REAL"
"lro:LROC_Parameters:2                lro:temperature_fpga:1              ","Attribute","temperature_fpga","n/a","lro","TBD","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Temperature","none","TBD_classConcept","REAL"
"lro:LROC_Parameters:2                lro:temperature_telescope:1         ","Attribute","temperature_telescope","n/a","lro","TBD","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Temperature","none","TBD_classConcept","REAL"
"lro:LROC_Parameters:2                lro:temperature_scs_raw:1           ","Attribute","temperature_scs_raw","n/a","lro","TBD","geo","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lro:LROC_Parameters:2                lro:temperature_fpa_raw:1           ","Attribute","temperature_fpa_raw","n/a","lro","TBD","geo","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lro:LROC_Parameters:2                lro:temperature_fpga_raw:1          ","Attribute","temperature_fpga_raw","n/a","lro","TBD","geo","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lro:LROC_Parameters:2                lro:temperature_telescope_raw:1     ","Attribute","temperature_telescope_raw","n/a","lro","TBD","geo","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lro:LROC_Parameters:2                lro:exposure_code:1                 ","Attribute","exposure_code","n/a","lro","Records the commanded exposure code for a WAC observation.","geo","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lro:LROC_Parameters:2                lro:interframe_delay:1              ","Attribute","interframe_delay","n/a","lro","Set to the value of the interframe delay between WAC framelets. Keyword can have values between 25/64 and 280/64 seconds, in 1/64 seconds increments.","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"lro:LROC_Parameters:2                lro:instrument_mode_id:1            ","Attribute","instrument_mode_id","n/a","lro","Records the commanded WAC mode: BW, COLOR, VIS or UV.","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lro:LROC_Parameters:2                lro:lookup_table_type:1             ","Attribute","lookup_table_type","n/a","lro","Always set to STORED.","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lro:LROC_Parameters:2                lro:line_exposure_duration:1        ","Attribute","line_exposure_duration","n/a","lro"," For NAC products, LINE_EXPOSURE_DURATION can have values between 337.6 and 35,281.6 microseconds, in 128/15 microsecond increments (LINE_EXPOSURE_DURATION = [LINE_EXPOSURE_CODE * 128/15] + 337.6) ","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"lro:LROC_Parameters:2                lro:line_exposure_code:1            ","Attribute","line_exposure_code","n/a","lro","Index range from 0 to 4095 each corresponding to one LINE_EXPOSURE_DURATION increment.","geo","ASCII_Integer","0","1","0","4095","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lro:LROC_Parameters:2                lro:dac_reset_level:1               ","Attribute","dac_reset_level","n/a","lro","Records the commanded DAC reset level for either the NAC LEFT or NAC RIGHT.","geo","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lro:LROC_Parameters:2                lro:channel_a_offset:1              ","Attribute","channel_a_offset","n/a","lro","Records the commanded NAC channel A offset for either the NAC LEFT or NAC RIGHT.","geo","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lro:LROC_Parameters:2                lro:channel_b_offset:1              ","Attribute","channel_b_offset","n/a","lro","Records the commanded NAC channel B offset for either the NAC LEFT or NAC RIGHT.","geo","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lro:LROC_Parameters:2                lro:compand_code:1                  ","Attribute","compand_code","n/a","lro","Indicates which stored companding table was used (0-7)","geo","ASCII_Integer","0","1","0","7","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lro:LROC_Parameters:2                lro:line_code:1                     ","Attribute","line_code","n/a","lro","Records the commanded value for the number of NAC lines to acquire, in 1024 increments. (LINES = LINES_CODE * 1024)","geo","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lro:LROC_Parameters:2                lro:bterm1:1                        ","Attribute","bterm1","n/a","lro","NAC companding bterm 1","geo","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lro:LROC_Parameters:2                lro:bterm2:1                        ","Attribute","bterm2","n/a","lro","NAC companding bterm 2","geo","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lro:LROC_Parameters:2                lro:bterm3:1                        ","Attribute","bterm3","n/a","lro","NAC companding bterm 3","geo","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lro:LROC_Parameters:2                lro:bterm4:1                        ","Attribute","bterm4","n/a","lro","NAC companding bterm 4","geo","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lro:LROC_Parameters:2                lro:bterm5:1                        ","Attribute","bterm5","n/a","lro","NAC companding bterm 5","geo","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lro:LROC_Parameters:2                lro:mterm1:1                        ","Attribute","mterm1","n/a","lro","NAC companding mterm 1","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"lro:LROC_Parameters:2                lro:mterm2:1                        ","Attribute","mterm2","n/a","lro","NAC companding mterm 2","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"lro:LROC_Parameters:2                lro:mterm3:1                        ","Attribute","mterm3","n/a","lro","NAC companding mterm 3","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"lro:LROC_Parameters:2                lro:mterm4:1                        ","Attribute","mterm4","n/a","lro","NAC companding mterm 4","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"lro:LROC_Parameters:2                lro:mterm5:1                        ","Attribute","mterm5","n/a","lro","NAC companding mterm 5","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
